date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:46	352/352	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Dec%202020%2009:53:46%20GMT	https://sreesanthramachandran.wordpress.com/robots.txt		(from )
15:23:48	48803/48803	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2009:53:46%20GMT	https://sreesanthramachandran.wordpress.com/	C:/My%20Web%20Sites/gat/sreesanthramachandran.wordpress.com/index.html	(from )
15:23:50	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee31a-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/gat/s1.wp.com/_static/indexba1f.html	(from https://sreesanthramachandran.wordpress.com/)
15:23:51	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f47-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	C:/My%20Web%20Sites/gat/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://sreesanthramachandran.wordpress.com/)
15:23:51	1546/1546	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2011%20Dec%202020%2009:53:50%20GMT	https://sreesanthramachandran.wordpress.com/feed/	C:/My%20Web%20Sites/gat/sreesanthramachandran.wordpress.com/feed/index.html	(from https://sreesanthramachandran.wordpress.com/)
15:23:51	896/896	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e4f93520a1126fbab24f07cbd2a8aa8a%22	https://sreesanthramachandran.wordpress.com/comments/feed/	C:/My%20Web%20Sites/gat/sreesanthramachandran.wordpress.com/comments/feed/index.html	(from https://sreesanthramachandran.wordpress.com/)
15:23:51	80434/80434	---MCZ	200	added ('OK')	text/css	etag:W/%225fc5577a-19011%22	https://s1.wp.com/wp-content/themes/pub/alves/style.css?m=1606768481h&cssminify=yes	C:/My%20Web%20Sites/gat/s1.wp.com/wp-content/themes/pub/alves/styled80e.css	(from https://sreesanthramachandran.wordpress.com/)
15:23:52	930/930	---MCZ	200	added ('OK')	text/xml	date:Fri,%2011%20Dec%202020%2009:53:52%20GMT	https://sreesanthramachandran.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/gat/sreesanthramachandran.wordpress.com/xmlrpc0db0.php	(from https://sreesanthramachandran.wordpress.com/)
15:23:52	134928/134928	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2a2b4-20f10%22	https://s2.wp.com/_static/??/wp-includes/js/jquery/jquery.js,/wp-content/js/postmessage.js,/wp-content/js/mobile-useragent-info.js?m=1558356653j	C:/My%20Web%20Sites/gat/s2.wp.com/_static/index1b73.html	(from https://sreesanthramachandran.wordpress.com/)
15:23:53	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/gat/s2.wp.com/i/webclip.png	(from https://sreesanthramachandran.wordpress.com/)
